ablation,model,n_features,cv_auroc_mean,cv_auroc_std,cv_ap_mean,cv_ap_std,cv_rmse_mean,cv_rmse_std,test_auroc,mean_pred_std,ci_coverage,strategy,removed_feature,removed_feature_group
drop_feat_plddt,random_forest,21,0.8359974009096817,0.08404988528464272,0.7360947910019118,0.12933403857260267,0.048806881879826416,0.0070541952172219246,0.7355072463768115,0.25707067556755375,1.0,leave_one_feature_out,plddt,global_structural
drop_feat_plddt,xgboost,21,0.8495776478232617,0.08447068525978922,0.7541143932320403,0.1468014601957328,0.050255770473267104,0.009198646491144845,0.7427536231884058,0.09279849696683713,1.0,leave_one_feature_out,plddt,global_structural
drop_feat_local_displacement,linear_regression,21,0.8474333983105913,0.0774897322450332,0.7607443126952931,0.13996313101149016,0.045426875702372214,0.0029617406222581895,0.7898550724637682,0.5176756611618974,1.0,leave_one_feature_out,local_displacement,local_structural
drop_feat_local_displacement,random_forest,21,0.8505523066926575,0.07209518854910783,0.7629632364414973,0.12011790355312073,0.04902358395579305,0.0057892663140446735,0.7536231884057971,0.25581156922257176,1.0,leave_one_feature_out,local_displacement,local_structural
drop_feat_local_displacement,xgboost,21,0.8481481481481481,0.09194008771314009,0.7631975801975802,0.13160529517511652,0.0508221185513272,0.0070035488025968805,0.7608695652173914,0.09081740334582504,1.0,leave_one_feature_out,local_displacement,local_structural
drop_feat_shell_rmsd_5,linear_regression,21,0.8499025341130604,0.07788521189891703,0.762709079095044,0.1394313749011453,0.04499881769471389,0.002901049159278782,0.7898550724637682,0.5198060986681706,1.0,leave_one_feature_out,shell_rmsd_5,local_structural
drop_feat_shell_rmsd_5,random_forest,21,0.849317738791423,0.0793599255295091,0.7577118844796191,0.11920839691730475,0.048999856687325524,0.006377863966976817,0.7282608695652174,0.2613435410599281,1.0,leave_one_feature_out,shell_rmsd_5,local_structural
drop_feat_shell_rmsd_5,xgboost,21,0.8460038986354774,0.07803738924458739,0.7505422366877476,0.13772653577058516,0.05095574038690863,0.00884917546953874,0.7463768115942029,0.09426504173110227,1.0,leave_one_feature_out,shell_rmsd_5,local_structural
drop_feat_shell_rmsd_8,linear_regression,21,0.8510721247563353,0.07501049632253894,0.7644634650599563,0.13907001271610117,0.04495635589614412,0.0027789297340695797,0.7898550724637682,0.5187762595485497,1.0,leave_one_feature_out,shell_rmsd_8,local_structural
drop_feat_shell_rmsd_8,random_forest,21,0.849317738791423,0.06964228437112358,0.7648384023384024,0.11048957921122614,0.04960423637438191,0.0059026781381924165,0.7246376811594203,0.2605585121576207,1.0,leave_one_feature_out,shell_rmsd_8,local_structural
drop_feat_shell_rmsd_8,xgboost,21,0.8369070825211177,0.09551038069002132,0.7591302493707035,0.13285034288011216,0.051506087249832445,0.0064211116304746275,0.7536231884057971,0.09235666973646774,1.0,leave_one_feature_out,shell_rmsd_8,local_structural
drop_feat_shell_rmsd_12,linear_regression,21,0.8486679662118259,0.0777955535676906,0.7612428603197438,0.14122659525867476,0.04547445287309902,0.002988341264993029,0.7934782608695652,0.5192054680649896,1.0,leave_one_feature_out,shell_rmsd_12,local_structural
drop_feat_shell_rmsd_12,random_forest,21,0.8445094217024043,0.07557405403971713,0.7382084404281202,0.11437976276492008,0.04939637811647474,0.005877443715218566,0.7427536231884058,0.262470703489456,1.0,leave_one_feature_out,shell_rmsd_12,local_structural
drop_feat_shell_rmsd_12,xgboost,21,0.8507472384665368,0.07598828488030764,0.7456371109492885,0.13475388341061992,0.05170803396845922,0.0074455161851601,0.7644927536231884,0.09052562582205008,1.0,leave_one_feature_out,shell_rmsd_12,local_structural
drop_feat_ramachandran_clash,linear_regression,21,0.8521767381416504,0.06731405586835469,0.7727070025939323,0.12604643330917972,0.04509252802932923,0.0023253046472364266,0.8007246376811594,0.5215681254738099,1.0,leave_one_feature_out,ramachandran_clash,local_structural
drop_feat_ramachandran_clash,random_forest,21,0.8421052631578949,0.07136976128620943,0.7331851600221053,0.12327387739932029,0.04942571443780956,0.005789457244161052,0.7282608695652173,0.2572000678009667,1.0,leave_one_feature_out,ramachandran_clash,local_structural
drop_feat_ramachandran_clash,xgboost,21,0.8482131254061078,0.08243880613970812,0.7753674530377317,0.12993518381170957,0.04867449538049033,0.007381544377534618,0.7391304347826088,0.09258750893183942,1.0,leave_one_feature_out,ramachandran_clash,local_structural
drop_feat_pam_score,linear_regression,21,0.8437296946068876,0.08183781815046923,0.7548275984994252,0.14385722936170145,0.04544999291269742,0.002885946379429893,0.782608695652174,0.519859290520863,1.0,leave_one_feature_out,pam_score,biochemical
drop_feat_pam_score,random_forest,21,0.838206627680312,0.0721897043505461,0.7415763357920222,0.1120880598382096,0.04982458261464574,0.005851519914263396,0.7391304347826086,0.26217200747281694,1.0,leave_one_feature_out,pam_score,biochemical
drop_feat_pam_score,xgboost,21,0.8666666666666668,0.06492935206076396,0.7842451992451993,0.12454914771960766,0.04955761337931179,0.006175671260387882,0.7608695652173912,0.09049949298709634,1.0,leave_one_feature_out,pam_score,biochemical
drop_feat_delta_size,linear_regression,21,0.8499025341130604,0.07509555259645384,0.7646225652190564,0.13910204551085265,0.04528448534551206,0.002855379866947393,0.7934782608695652,0.5180201281473223,1.0,leave_one_feature_out,delta_size,biochemical
drop_feat_delta_size,random_forest,21,0.8013645224171538,0.11453494648026961,0.7295758944279159,0.1257879551383263,0.05019527060917132,0.005181656765486507,0.7391304347826086,0.26641903144854157,1.0,leave_one_feature_out,delta_size,biochemical
drop_feat_delta_size,xgboost,21,0.8296296296296296,0.08044609658096252,0.7710861446027687,0.11804363447947107,0.04959990547245228,0.005445839543238362,0.7934782608695652,0.09154760383686891,1.0,leave_one_feature_out,delta_size,biochemical
drop_feat_delta_hydrophobicity,linear_regression,21,0.8559454191033138,0.07524287915054395,0.7658116745530933,0.13890502977791386,0.04484537851696173,0.002843841426704542,0.782608695652174,0.5175274695011087,1.0,leave_one_feature_out,delta_hydrophobicity,biochemical
drop_feat_delta_hydrophobicity,random_forest,21,0.8285250162443145,0.0882716467896424,0.7366335860769387,0.12173379821852778,0.049584409642082834,0.0060081376739626715,0.7137681159420289,0.2620001830862289,1.0,leave_one_feature_out,delta_hydrophobicity,biochemical
drop_feat_delta_hydrophobicity,xgboost,21,0.8042235217673814,0.09196602980709022,0.7431943434455661,0.14215056612075,0.05103942081354752,0.007074174926189145,0.782608695652174,0.0933166727275252,1.0,leave_one_feature_out,delta_hydrophobicity,biochemical
drop_feat_delta_charge,linear_regression,21,0.851137102014295,0.0758745203265902,0.7628527500668882,0.14256212732381185,0.04554661174953706,0.0033221751448233726,0.7753623188405797,0.5200313265807144,1.0,leave_one_feature_out,delta_charge,biochemical
drop_feat_delta_charge,random_forest,21,0.8383365821962313,0.0799881921824052,0.7421229805053334,0.11966782008809825,0.04937145789588443,0.00612302821217067,0.717391304347826,0.2605995605590079,1.0,leave_one_feature_out,delta_charge,biochemical
drop_feat_delta_charge,xgboost,21,0.8544509421702404,0.08095446657979659,0.765011397462378,0.13899283964750664,0.049500132549201846,0.0073034330515201655,0.7282608695652175,0.09167331628437843,1.0,leave_one_feature_out,delta_charge,biochemical
drop_feat_delta_aromaticity,linear_regression,21,0.8472384665367121,0.083814467033056,0.7646881529776266,0.13806808963226885,0.04571305584136942,0.0033248466869421327,0.786231884057971,0.5221500180229709,1.0,leave_one_feature_out,delta_aromaticity,biochemical
drop_feat_delta_aromaticity,random_forest,21,0.8284600389863549,0.08150619396366503,0.7350928916666792,0.11480369051917211,0.049778115813966115,0.005538920451990752,0.7246376811594203,0.26208146917407604,1.0,leave_one_feature_out,delta_aromaticity,biochemical
drop_feat_delta_aromaticity,xgboost,21,0.842040285899935,0.09046514598242075,0.7668957128249543,0.13467483139519187,0.050612850552186395,0.008210920352274755,0.753623188405797,0.09280751956911018,1.0,leave_one_feature_out,delta_aromaticity,biochemical
drop_feat_is_charge_reversal,linear_regression,21,0.8548408057179987,0.08388345060104291,0.7723082242643647,0.1420211955494598,0.044896220338182975,0.0035485384256697654,0.7753623188405797,0.5232181692923265,1.0,leave_one_feature_out,is_charge_reversal,biochemical
drop_feat_is_charge_reversal,random_forest,21,0.8308641975308643,0.0916910845808748,0.7337728629395297,0.12589368344131108,0.04979878955841618,0.006286157627184515,0.7137681159420289,0.25952955044268733,1.0,leave_one_feature_out,is_charge_reversal,biochemical
drop_feat_is_charge_reversal,xgboost,21,0.8407407407407407,0.08948701370084008,0.7612715192539754,0.13187977258508687,0.049731686522394,0.007083990011048998,0.7608695652173914,0.09195186418363993,1.0,leave_one_feature_out,is_charge_reversal,biochemical
drop_feat_is_size_increase,linear_regression,21,0.8578947368421053,0.09298415888309244,0.7735623127779991,0.15411225696609226,0.0454830687291929,0.003000575631079921,0.786231884057971,0.5231917461848502,1.0,leave_one_feature_out,is_size_increase,biochemical
drop_feat_is_size_increase,random_forest,21,0.8333333333333334,0.0817056400383916,0.733980157269631,0.12289257597815215,0.05000258818504324,0.005831639102507081,0.7210144927536233,0.26294058527222663,1.0,leave_one_feature_out,is_size_increase,biochemical
drop_feat_is_size_increase,xgboost,21,0.8530864197530864,0.07624393904515808,0.7739045373337786,0.12749549462779083,0.048853457605117424,0.00738010754196296,0.7536231884057972,0.09217713963966238,1.0,leave_one_feature_out,is_size_increase,biochemical
drop_feat_is_hydrophobic_to_polar,linear_regression,21,0.8523066926575698,0.07978842168871712,0.7650299562456425,0.14093689337842333,0.045103342815616704,0.0030520510402449606,0.782608695652174,0.5179167335709526,1.0,leave_one_feature_out,is_hydrophobic_to_polar,biochemical
drop_feat_is_hydrophobic_to_polar,random_forest,21,0.8309291747888239,0.08911521369690513,0.728358400858401,0.123114720964806,0.04962268503584212,0.005952575277691664,0.7355072463768116,0.2607775275035105,1.0,leave_one_feature_out,is_hydrophobic_to_polar,biochemical
drop_feat_is_hydrophobic_to_polar,xgboost,21,0.8506172839506172,0.07937801187989389,0.7720916644987853,0.13054487733626202,0.04889900974353284,0.007470555340383752,0.7608695652173914,0.09120094137135093,1.0,leave_one_feature_out,is_hydrophobic_to_polar,biochemical
drop_feat_is_polar_to_hydrophobic,linear_regression,21,0.8486029889538662,0.07695101690893336,0.7615455342158128,0.1395720920314305,0.045032518306926166,0.0027907921774709544,0.7934782608695652,0.518086325368751,1.0,leave_one_feature_out,is_polar_to_hydrophobic,biochemical
drop_feat_is_polar_to_hydrophobic,random_forest,21,0.8394411955815466,0.08769147394005257,0.7511794686794687,0.126187651235015,0.04963760740776156,0.006030878427593854,0.7246376811594203,0.26236021648956787,1.0,leave_one_feature_out,is_polar_to_hydrophobic,biochemical
drop_feat_is_polar_to_hydrophobic,xgboost,21,0.8554905782975958,0.07830161300455857,0.7752934262226675,0.1285063828519426,0.04898967575078857,0.007391709989835626,0.7572463768115941,0.09180540104447033,1.0,leave_one_feature_out,is_polar_to_hydrophobic,biochemical
drop_feat_evoef2_ddg_total,linear_regression,21,0.8460038986354776,0.0774492391566613,0.7583870825567779,0.14048318497494067,0.045343175966559374,0.0030542143147550276,0.7789855072463768,0.520237551550651,1.0,leave_one_feature_out,evoef2_ddg_total,structural_energy
drop_feat_evoef2_ddg_total,random_forest,21,0.8321637426900583,0.08326084519715624,0.7444592335768807,0.11359673008045053,0.04940129044800022,0.006368138784565856,0.7210144927536232,0.251640960207735,1.0,leave_one_feature_out,evoef2_ddg_total,structural_energy
drop_feat_evoef2_ddg_total,xgboost,21,0.8412605588044185,0.09986934793788636,0.7445713013880557,0.16302259555543971,0.050923605606738975,0.0072696522675531885,0.7717391304347826,0.09272088086864717,1.0,leave_one_feature_out,evoef2_ddg_total,structural_energy
drop_feat_ddg_evoef2,linear_regression,21,0.8486679662118259,0.07273286192309535,0.749325242658576,0.14202248540556078,0.04614508029662836,0.0028506685720853147,0.7536231884057971,0.5253186602461511,1.0,leave_one_feature_out,ddg_evoef2,structural_energy
drop_feat_ddg_evoef2,random_forest,21,0.8307992202729044,0.08152390773616118,0.7283851910301188,0.11985781282886962,0.04980913367799627,0.0058195708016083895,0.7608695652173912,0.25505862881147745,1.0,leave_one_feature_out,ddg_evoef2,structural_energy
drop_feat_ddg_evoef2,xgboost,21,0.8580896686159845,0.06842799429418484,0.7569471269471271,0.12303801646151098,0.05290134425424002,0.006974690825790789,0.7318840579710144,0.0942920801140474,1.0,leave_one_feature_out,ddg_evoef2,structural_energy
drop_feat_is_interface_residue,linear_regression,21,0.8474333983105913,0.07468530237358949,0.7484938555949235,0.12242834223100112,0.0467979156470957,0.0037198225760851278,0.7137681159420289,0.5368756542902025,1.0,leave_one_feature_out,is_interface_residue,residue_context
drop_feat_is_interface_residue,random_forest,21,0.8431448992852502,0.0726361466270824,0.7511150456202056,0.10785893471288323,0.04970087301510922,0.005890585623333837,0.7065217391304347,0.260439591334014,1.0,leave_one_feature_out,is_interface_residue,residue_context
drop_feat_is_interface_residue,xgboost,21,0.8628979857050032,0.08651911605425272,0.7831127222355294,0.1401529651364963,0.04978971605562174,0.007394381292092696,0.7427536231884058,0.08956186042332372,0.9714285714285714,leave_one_feature_out,is_interface_residue,residue_context
drop_feat_is_disordered_variant,linear_regression,21,0.8499025341130604,0.07509555259645383,0.7631461603602986,0.1384806410189889,0.04531437468120278,0.0028939852104184786,0.7898550724637682,0.5148049344290074,1.0,leave_one_feature_out,is_disordered_variant,residue_context
drop_feat_is_disordered_variant,random_forest,21,0.8407407407407407,0.07985660063603076,0.7521821404716142,0.11865020985059851,0.04953471973344586,0.005947006919910487,0.7137681159420289,0.25675450897058916,1.0,leave_one_feature_out,is_disordered_variant,residue_context
drop_feat_is_disordered_variant,xgboost,21,0.8530864197530864,0.07624393904515808,0.7739045373337786,0.12749549462779083,0.048853457605117424,0.00738010754196296,0.7463768115942029,0.09073590031819842,1.0,leave_one_feature_out,is_disordered_variant,residue_context
