label,model,mean_spearman,std_spearman,mean_r2,std_r2,mean_pearson,mean_rmse,mean_mae,mean_auroc,mean_auprc
cisplatin,lasso,0.5273630717108979,0.11984995917301497,0.29692259284998124,0.16574888154717082,0.593916849339359,0.46584805703893895,0.36126413017180264,0.7831404958677685,0.8328930251934918
any,elasticnet,0.523737203972498,0.14035581603658934,0.3742507499978289,0.10918002123791634,0.6459892611906365,0.4428893884138988,0.3349565592380253,0.7488372093023256,0.7768440736452239
both,xgb,0.5202992776057792,0.13295378817017012,0.37946673160088146,0.23460927706103693,0.6728341312816886,0.41717900400752156,0.3326360188890661,0.7506760411032991,0.8108447072039602
cisplatin,lgbm,0.5103783173348391,0.14177496522533078,0.2206274319215928,0.24988609358082384,0.5581308380595851,0.4872117359194654,0.3757548353122237,0.7738842975206611,0.8277790775995586
cisplatin,rf,0.5100621118012423,0.14522172219082094,0.31541617200966143,0.1736635752852181,0.5929703422715956,0.45931023298192886,0.3514018953433196,0.7639669421487603,0.8185528482423694
both,gbm,0.5034932920536636,0.13884842938802822,0.34796072962493185,0.2638180864578666,0.6603010106976822,0.42527412404251663,0.3435818163022722,0.7501352082206598,0.8126901231697449
both,svr,0.4385242518059856,0.16087083103700828,0.15185311560652523,0.2317201120452903,0.4898810495743362,0.49000652890999147,0.3901270822564474,0.7122769064359114,0.7058564630298256
cisplatin,xgb,0.4307848673066066,0.15639979181742852,0.1651009817727387,0.24896053403703888,0.5130560749849503,0.5037977337680195,0.3907327986234882,0.7401652892561984,0.8013518571987821
cisplatin,gbm,0.41804630152456246,0.15693810601604616,0.15798588711481948,0.2668847355348805,0.5132736707927559,0.505368632332511,0.3921068103577346,0.7332231404958678,0.8038403989630154
cisplatin,svr,0.34970073404856017,0.18381504567242463,-0.06938232424838908,0.2596357520777543,0.34732758908174455,0.5740216561020753,0.45429341285530644,0.6737190082644627,0.7344252160444766
hdr,svr,0.34923565866836165,0.11380538842056054,-0.04750660215957634,0.21539161545000796,0.42646195372753753,0.6070734897886101,0.47402999550894553,0.6469825990373935,0.6935175077583994
any,svr,0.31762974280621337,0.11959246230066993,-0.15933293239205215,0.2109913434895978,0.34891041475224716,0.6009864560360518,0.45370362335534603,0.6477428180574556,0.6650673739039725
